street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	3	parking meter zone	south	a point 140 feet west of the I-90 Westbound on-ramp	(110 feet westerly)		8:00 a.m. to 6:00 p.m.	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (3) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 140' west of the I-90 Westbound on-ramp, 110' westerly, south side.	two-hour limit
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	4	live parking	south	a point 300 feet west of the I-90 Westbound on-ramp	(55 feet westerly)		all times; all days, all times; all days	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (4) Live Parking, all days, all times, from a point 300' west of the I-90 Westbound on-ramp, 55' westerly, south side.	
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	5	parking meter zone	south	a point 355 feet west of the I-90 Westbound on-ramp	(120 feet westerly)		8:00 a.m. to 6:00 p.m.	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (5) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 355' west of the I-90 Westbound on-ramp, 120' westerly, south side.	two-hour limit
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	6	parking meter zone	north	Bacon Street	Peabody Street		8:00 a.m. to 6:00 p.m.	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (6) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., Bacon Street to Peabody Street, north side.	two-hour limit
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	7	parking meter zone	north	a point 75 feet west of Peabody Street	a point 75 feet west of Channing Street		8:00 a.m. to 6:00 p.m.	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (7) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 75' west of Peabody Street to a point 75' west of Channing Street, north side.	two-hour limit
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	8	one-hour limit	north	a point 45 feet east of Thornton Street	Thornton Street		7:00 a.m. to 7:00 p.m.	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (8) One-hour limit, 7:00 a.m. to 7:00 p.m., from a point 45' east of Thornton Street to Thornton Street, north side.	
Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike)	9	two-hour limit	north	Thornton Street	a point 85 feet east of Hovey Street		7:00 a.m. to 8:00 p.m.	Washington Street between St. James Street and Church Street (both sides of the Massachusetts Turnpike) (9) Two-hour limit, 7:00 a.m. to 8:00 p.m., except Sundays and Holidays, from Thornton Street to a point 85 feet east of Hovey Street, north side.	
Washington Street between Church Street and Walnut Street	1	prohibited					any time	Washington Street between Church Street and Walnut Street (1) Prohibited, any time, any side, except for the following:	general prohibition with exceptions in subsequent clauses
Washington Street between Church Street and Walnut Street	2	one-hour limit	north	a point 65 feet west of Church Street	a point 65 feet east of Jewett Street		including Saturdays; 7:00 a.m. to 8:00 p.m.	Washington Street between Church Street and Walnut Street (2) One-hour limit, 7:00 a.m. to 8:00 p.m., including Saturdays, from a point 65' west of Church Street to a point 65' east of Jewett Street, north side.	
Washington Street between Church Street and Walnut Street	3	one-hour limit	north	Jewett Street	Walnut Park		including Saturdays; 7:00 a.m. to 8:00 p.m.	Washington Street between Church Street and Walnut Street (3) One-hour limit, 7:00 a.m. to 8:00 p.m., including Saturdays, from Jewett Street to Walnut Park north side.	
Washington Street between Church Street and Walnut Street	4	no restriction	north	Walnut Park	a point 355 feet east of Jackson Road		any time	Washington Street between Church Street and Walnut Street (4) No restriction, any time, from Walnut Park to a point 355' east of Jackson Road north side.	
Washington Street between Church Street and Walnut Street	5	two-hour limit	north	a point 355 feet east of Jackson Road	a point 100 feet east of Jackson Road			Washington Street between Church Street and Walnut Street (5) Two-hour limit, from a point 355' east of Jackson Road to a point 100' east of Jackson Road north side.	
Washington Street between Church Street and Walnut Street	6	prohibited	north	a point 230 feet east of Lenglen Road	Lenglen Road		school days	Washington Street between Church Street and Walnut Street (6) Prohibited, school days, from a point 230' east of Lenglen Road to Lenglen Road north side.	
Washington Street between Church Street and Walnut Street	7	no restriction	north	Lenglen Road	a point 120 feet east of Crafts Street		any time	Washington Street between Church Street and Walnut Street (7) No restriction, any time, from Lenglen Road to a point 120' east of Crafts Street north side.	
Washington Street between Church Street and Walnut Street	8	parking meter zone	north	a point 165 feet east of Harvard Street	a point 43 feet east of Harvard Street		8:00 a.m. to 6:00 p.m.	Washington Street between Church Street and Walnut Street (8) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 165' east of Harvard Street to a point 43' east of Harvard Street north side.	two-hour limit
Washington Street between Church Street and Walnut Street	9	parking meter zone	north	a point 60 feet east of Harvard Street	Central Avenue		8:00 a.m. to 6:00 p.m.	Washington Street between Church Street and Walnut Street (9) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 60' east of Harvard Street to Central Avenue, north side.	two-hour limit
Washington Street between Church Street and Walnut Street	10	parking meter zone	north	a point 25 feet west of Central Avenue	a point 180 feet west of Central Avenue		8:00 a.m. to 6:00 p.m.	Washington Street between Church Street and Walnut Street (10) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., from a point 25' west of Central Avenue to a point 180' west of Central Avenue, north side.	one-hour limit
Washington Street between Church Street and Walnut Street	11	parking meter zone	north	a point 225 feet west of Central Avenue	a point 265 feet west of Central Avenue		8:00 a.m. to 6:00 p.m.	Washington Street between Church Street and Walnut Street (11) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., from a point 225' west of Central Avenue to a point 265' west of Central Avenue, north side.	one-hour limit
Washington Street between Church Street and Walnut Street	12	parking meter zone	south	a point 160 feet east of Walnut Street	a point 290 feet east of Walnut Street		8:00 a.m. to 6:00 p.m.	Washington Street between Church Street and Walnut Street (12) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 160' east of Walnut Street to a point 290' east of Walnut Street, south side.	two-hour limit
Washington Street between Church Street and Walnut Street	13	parking meter zone	south	a point 290 feet east of Walnut Street	a point 80 feet west of Harvard Street		8:00 a.m. to 6:00 p.m.	Washington Street between Church Street and Walnut Street (13) Parking meter zone, no time limit, 8:00 a.m. to 6:00 p.m., from a point 290' east of Walnut Street to a point 80' west of Harvard Street, south side.	no time limit
Washington Street between Church Street and Walnut Street	14	parking meter zone	south	a point 40 feet east of Harvard Street	a point 150 feet east of Harvard Street			Washington Street between Church Street and Walnut Street (14) Parking meter zone, two-hour limit, from a point 40' east of Harvard Street to a point 150' east of Harvard Street, south side.	two-hour limit
Washington Street between Church Street and Walnut Street	15	parking meter zone	south	a point 150 feet east of Harvard Street	a point 465 feet east of Harvard Street			Washington Street between Church Street and Walnut Street (15) Parking meter zone, no time limit, from a point 150' east of Harvard Street to a point 465' east of Harvard Street, south side.	no time limit
Washington Street between Church Street and Walnut Street	16	one-hour limit	south	a point 465 feet east of Harvard Street	a point 570 feet east of Harvard Street			Washington Street between Church Street and Walnut Street (16) One-hour limit, from a point 465' east of Harvard Street to a point 570' east of Harvard Street, south side.	
Washington Street between Church Street and Walnut Street	17	no restriction	south	a point 175 feet west of Crafts Street	a point 125 feet west of Crafts Street		any time	Washington Street between Church Street and Walnut Street (17) No restriction, any time, from a point 175' west of Crafts Street to a point 125' west of Crafts Street, south side.	
Washington Street between Church Street and Walnut Street	18	no restriction	south	a point 50 feet east of Crafts Street	a point 105 feet east of Crafts Street		any time	Washington Street between Church Street and Walnut Street (18) No restriction, any time, from a point 50' east of Crafts Street to a point 105' east of Crafts Street, south side.	
Washington Street between Church Street and Walnut Street	19	no restriction	south	a point 140 feet west of Lenglen Road	a point 140 feet east of Lenglen Road		any time	Washington Street between Church Street and Walnut Street (19) No restriction, any time, from a point 140' west of Lenglen Road to a point 140' east of Lenglen Road, south side.	
Washington Street between Church Street and Walnut Street	20	no restriction	south	a point 90 feet east of Jackson Road	Jewett Street		any time	Washington Street between Church Street and Walnut Street (20) No restriction, any time, from a point 90' east of Jackson Rd to Jewett Street, south side.	
Washington Street between Church Street and Walnut Street	21	two-hour limit	south	Jewett Street	a point 35 feet west of Church Street		including Saturdays; 7:00 a.m. to 8:00 p.m.	Washington Street between Church Street and Walnut Street (21) Two-hour limit, 7:00 a.m. to 8:00 p.m., including Saturdays, from Jewett Street to a point 35' west of Church Street, south side.	
Washington Street between Walnut Street and Chestnut Street	1	prohibited					any time	Washington Street between Walnut Street and Chestnut Street (1) Prohibited, any time, except for the following:	
Washington Street between Walnut Street and Chestnut Street	2	parking meter zone, two-hour limit	north	a point 60 feet west of Walnut Street	40 feet westerly		8:00 a.m. to 6:00 p.m.	Washington Street between Walnut Street and Chestnut Street (2) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 60 feet west of Walnut Street, 40 feet westerly, north side.	
Washington Street between Walnut Street and Chestnut Street	3	parking meter zone, two-hour limit	north	a point 135 feet west of Walnut Street	125 feet westerly		8:00 a.m. to 6:00 p.m.	Washington Street between Walnut Street and Chestnut Street (3) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 135 feet west of Walnut Street, 125 feet westerly, north side.	
Washington Street between Walnut Street and Chestnut Street	4	loading zone, 15-minute limit	north	a point 260 feet west of Walnut Street	40 feet westerly		all days	Washington Street between Walnut Street and Chestnut Street (4) Loading Zone, 15-minute limit, all days, all hours, from a point 260 feet west of Walnut Street, 40 feet westerly, north side.	
Washington Street between Walnut Street and Chestnut Street	5	parking meter zone, two-hour limit	north	a point 300 feet west of Walnut Street	80 feet westerly		8:00 a.m. to 6:00 p.m.	Washington Street between Walnut Street and Chestnut Street (5) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 300 feet west of Walnut Street, 80 feet westerly, north side.	
Washington Street between Walnut Street and Chestnut Street	6	parking meter zone, two-hour limit	north	Washington Terrace	a point 110' east of Lowell Ave		8:00 a.m. to 6:00 p.m.	Washington Street between Walnut Street and Chestnut Street (6) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from Washington Terrace to a point 110' east of Lowell Ave, north side.	
Washington Street between Walnut Street and Chestnut Street	7	no restriction	north	a point 75' west of Lowell Ave.	a point 50' east of Brooks Ave.		any time	Washington Street between Walnut Street and Chestnut Street (7) No restriction, any time, from a point 75' west of Lowell Ave. to a point 50' east of Brooks Ave., north side.	
Washington Street between Walnut Street and Chestnut Street	8	no restriction	north	a point 35' west of Brooks Avenue	a point 120' west of Brooks Avenue		any time	Washington Street between Walnut Street and Chestnut Street (8) No restriction, any time, from a point 35' west of Brooks Avenue to a point 120' west of Brooks Avenue, north side.	
Washington Street between Walnut Street and Chestnut Street	9	15-minute limit	north	a point 165' east of Walker	a point 30' east of Walker			Washington Street between Walnut Street and Chestnut Street (9) Fifteen-minute limit, from a point 165' east of Walker to a point 30' east of Walker, north side.	
Washington Street between Walnut Street and Chestnut Street	10	no restriction	north	a point 65' west of Walker St.	a point 20' east of Eddy St.		any time	Washington Street between Walnut Street and Chestnut Street (10) No restriction, any time, from a point 65' west of Walker St. to a point 20' east of Eddy St., north side.	
